tic_id,gaia_id,pl_orbper,pl_radj,pl_massj,pl_dens,pl_orbeccen,pl_eqt,pl_trandep,pl_trandur,pl_ratdor,pl_ratror,st_teff,st_rad,st_mass,st_lum,ra,dec,sy_pmra,sy_pmdec,sy_dist
TIC 48964101,Gaia DR2 6243841249531772800,,1.664,8,,,1800,,,,,4060,1.35,0.85,,242.3762343,-21.0831403,-10.2743,-23.2043,139.135
TIC 77111651,Gaia DR2 4963614887043956096,,1.44,13.9,,,,,,,,3064,0.28,0.11,-2.23,34.8427046,-39.4230767,,,
TIC 332064670,Gaia DR2 704967037090946688,0.737,0.169,0.02435,6.25,,,,,,0.01821,5172,0.95,0.87,,133.1468373,28.3298154,-485.872,-233.651,12.5855
TIC 332064670,Gaia DR2 704967037090946688,,0.171,0.02542,6.3,,,,,,0.0187,5250,0.96,0.9,-0.197,133.1468373,28.3298154,-485.872,-233.651,12.5855
TIC 332064670,Gaia DR2 704967037090946688,0.736539,0.17,0.02542,6.4,,,,,,0.0187,5250,0.96,0.9,-0.197,133.1468373,28.3298154,-485.872,-233.651,12.5855
TIC 332064670,Gaia DR2 704967037090946688,0.736546,0.194,0.026,4.5,0,,,,,,5250,0.96,0.9,-0.197,133.1468373,28.3298154,-485.872,-233.651,12.5855
TIC 332064670,Gaia DR2 704967037090946688,0.7365474,0.167,0.02514,6.66,0.05,,,,3.52,0.0182,5172,0.94,0.91,,133.1468373,28.3298154,-485.872,-233.651,12.5855
TIC 332064670,Gaia DR2 704967037090946688,0.7365437,0.186,0.02457,4.78,0.061,1958,0.041,1.596,3.517,0.0202,5234,0.94,0.91,,133.1468373,28.3298154,-485.872,-233.651,12.5855
TIC 332064670,Gaia DR2 704967037090946688,0.73654,0.178,0.027,5.9,,,0.038,1.5792,3.6114,0.0195,,0.94,0.96,,133.1468373,28.3298154,-485.872,-233.651,12.5855
TIC 441420236,Gaia DR2 6794047652729201024,8.463,0.363,0.05349,1.4,0,593,,3.5,19.1,0.0496,3700,0.75,0.5,,311.2911369,-31.34245,281.424,-359.895,9.7221
TIC 441420236,Gaia DR2 6794047652729201024,18.859019,0.289,0.04279,2.3,0,454,,4.5,29,0.0395,3700,0.75,0.5,,311.2911369,-31.34245,281.424,-359.895,9.7221
TIC 26123781,Gaia DR2 58200934326315136,41.6855,0.199,0.05129,7.89,0,546,,,55.8,0.02204,5766,0.93,0.96,-0.056,53.6511231,20.5990205,36.5714,-51.3647,179.461
TIC 26123781,Gaia DR2 58200934326315136,41.6855,0.23,0.07,,0,,0.049,,55.8,,5766,1.08,1.67,,53.6511231,20.5990205,36.5714,-51.3647,179.461
TIC 159527171,Gaia DR2 1579929906250111232,,1.31,15,,,1303,,,,,4993,0.8,1,0.356,190.8875453,60.0143636,-126.501,-64.2561,44.9543
TIC 175744063,,8040000,1.86,7.8,,,1800,,,,,2320,0.24,0.01,-2.85,246.934277,-23.98115,,,
TIC 272232401,Gaia DR2 5213167330349528064,402000000,1.11,6.3,,,434,,,,,3406,0.39,0.37,-1.732,117.300914,-76.702696,-101.997,-193.265,10.8864
TIC 454259409,Gaia DR2 5201360671411974912,,2.2,17,,,2600,,,,,,,,,166.0375038,-76.4553693,-22.2089,-0.174998,190.72
TIC 36352297,Gaia DR2 3105507886130792448,1.5089557,1.49,1.03,0.38,0,1898,1.92654,,4.92,0.1388,5950,1.11,0.95,,102.0798591,-3.1021394,-6.01462,0.54713,787.909
TIC 36352297,Gaia DR2 3105507886130792448,1.50897655,1.42,1.07,0.44,0.071,1834,,,,0.1381,5950,,,,102.0798591,-3.1021394,-6.01462,0.54713,787.909
TIC 36352297,Gaia DR2 3105507886130792448,1.5089686,1.551,1.03,0.344,,1915,,,4.8239,,5950,1.13,0.95,,102.0798591,-3.1021394,-6.01462,0.54713,787.909
TIC 36352297,Gaia DR2 3105507886130792448,1.5089682,1.715,1.23,0.302,0.036,,,,,,6298,1.23,1.22,,102.0798591,-3.1021394,-6.01462,0.54713,787.909
TIC 36352297,Gaia DR2 3105507886130792448,1.5089557,1.48,1.13,,0,,,,,,5950,1.14,1.03,,102.0798591,-3.1021394,-6.01462,0.54713,787.909
TIC 405010127,Gaia DR2 4263752921128319616,13.2406,0.941,2.78,4.16,,647,,,30.675,,5075,0.74,0.9,,291.0636813,0.7460143,-3.19635,-22.735,338.386
TIC 405010127,Gaia DR2 4263752921128319616,13.2406,0.97,2.73,3.69,0.524,,,,,,5075,0.79,0.89,,291.0636813,0.7460143,-3.19635,-22.735,338.386
TIC 405010127,Gaia DR2 4263752921128319616,13.2406,0.97,2.75,3.7,0.53,600,1.61036,2.98,31.33,0.1269,5075,0.79,0.89,,291.0636813,0.7460143,-3.19635,-22.735,338.386
TIC 110178537,Gaia DR2 4285511294172309504,2.99433,1.426,2.34,1,,1735,,,6.8871,,6440,1.37,1.26,,280.6872998,5.9376586,1.91873,-5.24175,655.037
TIC 110178537,Gaia DR2 4285511294172309504,2.994325,1.39,2.49,0.93,0,1715,1.16,2.44488,7.062,,,1.33,1.23,,280.6872998,5.9376586,1.91873,-5.24175,655.037
TIC 110178537,Gaia DR2 4285511294172309504,2.994325,1.43,2.62,1.11,0.36,,,,,,6440,1.37,1.27,,280.6872998,5.9376586,1.91873,-5.24175,655.037
TIC 110178537,Gaia DR2 4285511294172309504,2.99433,1.43,2.33,0.99,0,1657,1.1449,2.5009,6.89,0.107,6440,1.37,1.27,,280.6872998,5.9376586,1.91873,-5.24175,655.037
TIC 280210963,Gaia DR2 3107255598526406912,2.828042,1.44,0.917,0.411,0.07,1442,1.744,2.57424,,,5675,1.12,1.08,,100.7656871,-1.2964437,1.69419,-3.47492,1126.37
TIC 280210963,Gaia DR2 3107255598526406912,2.828042,1.44,0.915,0.381,0.05,,,,,,5675,1.12,1.08,,100.7656871,-1.2964437,1.69419,-3.47492,1126.37
TIC 280210963,Gaia DR2 3107255598526406912,2.828042,1.35,0.887,0.448,,1410,,,8.0972,,5675,1.05,1.02,,100.7656871,-1.2964437,1.69419,-3.47492,1126.37
TIC 280210963,Gaia DR2 3107255598526406912,2.82805268,1.344,0.873,0.447,,1417,,,8.02,0.1314,,1.05,1,0.07,100.7656871,-1.2964437,1.69419,-3.47492,1126.37
TIC 281909674,Gaia DR2 3101974231859723776,4.03519,0.885,1.308,2.34,0,1700,,3.14,10.81,0.0909,5945,1.01,1.09,,102.7211432,-5.0864557,1.63671,-3.25693,1148.93
TIC 281909674,Gaia DR2 3101974231859723776,4.03519,1.252,1.312,0.82,,1432,,,8.6133,,5945,1.27,1.09,,102.7211432,-5.0864557,1.63671,-3.25693,1148.93
TIC 281909674,Gaia DR2 3101974231859723776,4.03519,0.885,1.331,2.38,0.067,,,,,,5945,1.01,1.09,,102.7211432,-5.0864557,1.63671,-3.25693,1148.93
TIC 282706928,Gaia DR2 3101145195794755072,1.51214,1.09,7.6,7.3,0,1952,,1.662,4.78,0.0925,6035,1.21,1.13,,103.4242023,-5.5360385,-0.118627,-3.60155,1744.6
TIC 282706928,Gaia DR2 3101145195794755072,1.51214,1.018,7.67,9,,1936,,,4.854,,6035,1.19,1.12,,103.4242023,-5.5360385,-0.118627,-3.60155,1744.6
